类型名,Parameter,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11
闲人,enabled,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
闲人,probBase,0,0,0,0,0,0.01,0.1,0.2,0.3,0.4,0.5
闲人,probK,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001
闲人,coolUnit,year,year,year,year,year,day,day,day,day,day,day
普通,enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
普通,probBase,0,0,0,0,0,0,0.3,0.3,0.4,0.1,0.2
普通,probK,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001
普通,coolUnit,year,year,year,year,year,year,month,week,week,day,day
忙人,enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
忙人,probBase,0,0,0,0,0,0,0.2,0.5,0.3,0.1,0.2
忙人,probK,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001
忙人,coolUnit,year,year,year,year,year,year,month,month,week,day,day
神出鬼没,enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
神出鬼没,probBase,0,0,0,0,0,0,0.01,0.02,0.04,0.06,0.1
神出鬼没,probK,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001
神出鬼没,coolUnit,year,year,year,year,year,year,day,day,day,day,day
行动困难,enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
行动困难,probBase,0,0,0,0,0,0,0,0.2,0.4,0.3,0.5
行动困难,probK,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001
行动困难,coolUnit,year,year,year,year,year,year,year,month,month,week,week
痴情,enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
痴情,probBase,0,0,0,0,0,0,0.3,0.3,0.3,0.4,0.5
痴情,probK,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001
痴情,coolUnit,year,year,year,year,year,year,month,week,day,day,day
友谊第一,enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
友谊第一,probBase,0,0,0,0,0,0,0.3,0.2,0.2,0.4,0.5
友谊第一,probK,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001
友谊第一,coolUnit,year,year,year,year,year,year,month,day,day,day,day
傲娇,enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
傲娇,probBase,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.5
傲娇,probK,0,0,0,0,0,0,0.01,0.01,0.001,0.001,0.001
傲娇,coolUnit,year,year,year,year,year,year,month,week,week,day,day
